observed_on,latitude,longitude,common_name,,,,,,,,,,,,,,
12/1/2019,43.52559398,-110.7319653,North American River Otter,,,,{position: {,lat:,43.52559398,",lng:",-110.7319653,"},","species:""",North American River Otter,""", date:""",12/1/2019,"""},"
1/26/2018,44.83530146,-110.089699,North American River Otter,,,,{position: {,lat:,44.83530146,",lng:",-110.089699,"},","species:""",North American River Otter,""", date:""",1/26/2018,"""},"
5/10/2023,44.64388776,-110.565938,North American River Otter,,,,{position: {,lat:,44.64388776,",lng:",-110.565938,"},","species:""",North American River Otter,""", date:""",5/10/2023,"""},"
5/10/2023,44.4369091,-110.3499468,North American River Otter,,,,{position: {,lat:,44.4369091,",lng:",-110.3499468,"},","species:""",North American River Otter,""", date:""",5/10/2023,"""},"
5/28/2023,44.99995013,-110.1402405,North American River Otter,,,,{position: {,lat:,44.99995013,",lng:",-110.1402405,"},","species:""",North American River Otter,""", date:""",5/28/2023,"""},"
3/4/2023,41.41612768,-109.4558012,North American River Otter,,,,{position: {,lat:,41.41612768,",lng:",-109.4558012,"},","species:""",North American River Otter,""", date:""",3/4/2023,"""},"
6/3/2023,44.99282493,-110.099691,North American River Otter,,,,{position: {,lat:,44.99282493,",lng:",-110.099691,"},","species:""",North American River Otter,""", date:""",6/3/2023,"""},"
6/20/2023,43.83425568,-110.4559472,North American River Otter,,,,{position: {,lat:,43.83425568,",lng:",-110.4559472,"},","species:""",North American River Otter,""", date:""",6/20/2023,"""},"
5/19/2023,44.51143263,-110.4963509,North American River Otter,,,,{position: {,lat:,44.51143263,",lng:",-110.4963509,"},","species:""",North American River Otter,""", date:""",5/19/2023,"""},"
7/13/2023,43.63893921,-110.7537215,North American River Otter,,,,{position: {,lat:,43.63893921,",lng:",-110.7537215,"},","species:""",North American River Otter,""", date:""",7/13/2023,"""},"
7/27/2023,44.67149313,-110.415107,North American River Otter,,,,{position: {,lat:,44.67149313,",lng:",-110.415107,"},","species:""",North American River Otter,""", date:""",7/27/2023,"""},"
9/11/2015,43.64841138,-110.774067,North American River Otter,,,,{position: {,lat:,43.64841138,",lng:",-110.774067,"},","species:""",North American River Otter,""", date:""",9/11/2015,"""},"
9/13/2022,43.99793684,-110.5254018,North American River Otter,,,,{position: {,lat:,43.99793684,",lng:",-110.5254018,"},","species:""",North American River Otter,""", date:""",9/13/2022,"""},"
8/23/2023,41.80012501,-109.9448821,North American River Otter,,,,{position: {,lat:,41.80012501,",lng:",-109.9448821,"},","species:""",North American River Otter,""", date:""",8/23/2023,"""},"
9/20/2016,44.21944534,-110.621986,North American River Otter,,,,{position: {,lat:,44.21944534,",lng:",-110.621986,"},","species:""",North American River Otter,""", date:""",9/20/2016,"""},"
8/21/2023,43.9408306,-110.4081165,North American River Otter,,,,{position: {,lat:,43.9408306,",lng:",-110.4081165,"},","species:""",North American River Otter,""", date:""",8/21/2023,"""},"
8/29/2007,43.72471223,-110.7865975,North American River Otter,,,,{position: {,lat:,43.72471223,",lng:",-110.7865975,"},","species:""",North American River Otter,""", date:""",8/29/2007,"""},"
6/11/2023,44.0407838,-110.6768368,North American River Otter,,,,{position: {,lat:,44.0407838,",lng:",-110.6768368,"},","species:""",North American River Otter,""", date:""",6/11/2023,"""},"
6/7/2013,44.89529781,-110.223203,North American River Otter,,,,{position: {,lat:,44.89529781,",lng:",-110.223203,"},","species:""",North American River Otter,""", date:""",6/7/2013,"""},"
6/18/2019,44.64349547,-110.5037761,North American River Otter,,,,{position: {,lat:,44.64349547,",lng:",-110.5037761,"},","species:""",North American River Otter,""", date:""",6/18/2019,"""},"
1/3/2024,43.9365244,-110.5646208,North American River Otter,,,,{position: {,lat:,43.9365244,",lng:",-110.5646208,"},","species:""",North American River Otter,""", date:""",1/3/2024,"""},"
2/18/2024,43.69493734,-110.5451035,North American River Otter,,,,{position: {,lat:,43.69493734,",lng:",-110.5451035,"},","species:""",North American River Otter,""", date:""",2/18/2024,"""},"
12/27/2019,43.50863986,-110.6601277,North American River Otter,,,,{position: {,lat:,43.50863986,",lng:",-110.6601277,"},","species:""",North American River Otter,""", date:""",12/27/2019,"""},"
4/23/2024,41.59678989,-109.4079079,North American River Otter,,,,{position: {,lat:,41.59678989,",lng:",-109.4079079,"},","species:""",North American River Otter,""", date:""",4/23/2024,"""},"
2/27/2020,44.89815539,-110.7311577,North American River Otter,,,,{position: {,lat:,44.89815539,",lng:",-110.7311577,"},","species:""",North American River Otter,""", date:""",2/27/2020,"""},"
5/12/2024,44.97291268,-111.1844007,North American River Otter,,,,{position: {,lat:,44.97291268,",lng:",-111.1844007,"},","species:""",North American River Otter,""", date:""",5/12/2024,"""},"
5/18/2024,42.79103972,-108.8929224,North American River Otter,,,,{position: {,lat:,42.79103972,",lng:",-108.8929224,"},","species:""",North American River Otter,""", date:""",5/18/2024,"""},"
8/1/2020,44.19479393,-110.6217105,North American River Otter,,,,{position: {,lat:,44.19479393,",lng:",-110.6217105,"},","species:""",North American River Otter,""", date:""",8/1/2020,"""},"
8/28/2014,44.62978117,-110.552428,North American River Otter,,,,{position: {,lat:,44.62978117,",lng:",-110.552428,"},","species:""",North American River Otter,""", date:""",8/28/2014,"""},"
6/19/2024,43.8296036,-110.4925343,North American River Otter,,,,{position: {,lat:,43.8296036,",lng:",-110.4925343,"},","species:""",North American River Otter,""", date:""",6/19/2024,"""},"
2/6/2004,44.55274668,-110.425384,North American River Otter,,,,{position: {,lat:,44.55274668,",lng:",-110.425384,"},","species:""",North American River Otter,""", date:""",2/6/2004,"""},"
7/5/2024,40.82999215,-109.6848566,North American River Otter,,,,{position: {,lat:,40.82999215,",lng:",-109.6848566,"},","species:""",North American River Otter,""", date:""",7/5/2024,"""},"
7/25/2024,43.93250627,-110.428915,North American River Otter,,,,{position: {,lat:,43.93250627,",lng:",-110.428915,"},","species:""",North American River Otter,""", date:""",7/25/2024,"""},"
8/2/2024,42.30252902,-109.5586157,North American River Otter,,,,{position: {,lat:,42.30252902,",lng:",-109.5586157,"},","species:""",North American River Otter,""", date:""",8/2/2024,"""},"
8/2/2024,42.32576554,-109.4222914,North American River Otter,,,,{position: {,lat:,42.32576554,",lng:",-109.4222914,"},","species:""",North American River Otter,""", date:""",8/2/2024,"""},"
7/27/2024,43.84108002,-110.5030238,North American River Otter,,,,{position: {,lat:,43.84108002,",lng:",-110.5030238,"},","species:""",North American River Otter,""", date:""",7/27/2024,"""},"
6/1/2023,43.87496655,-110.5113886,North American River Otter,,,,{position: {,lat:,43.87496655,",lng:",-110.5113886,"},","species:""",North American River Otter,""", date:""",6/1/2023,"""},"
8/24/2024,43.94792669,-110.4617325,North American River Otter,,,,{position: {,lat:,43.94792669,",lng:",-110.4617325,"},","species:""",North American River Otter,""", date:""",8/24/2024,"""},"
8/30/2024,42.68828487,-108.9112598,North American River Otter,,,,{position: {,lat:,42.68828487,",lng:",-108.9112598,"},","species:""",North American River Otter,""", date:""",8/30/2024,"""},"
8/22/2024,44.61402058,-110.4834423,North American River Otter,,,,{position: {,lat:,44.61402058,",lng:",-110.4834423,"},","species:""",North American River Otter,""", date:""",8/22/2024,"""},"
8/29/2019,44.44312594,-110.867173,North American River Otter,,,,{position: {,lat:,44.44312594,",lng:",-110.867173,"},","species:""",North American River Otter,""", date:""",8/29/2019,"""},"
8/8/2024,43.93071213,-110.5808347,North American River Otter,,,,{position: {,lat:,43.93071213,",lng:",-110.5808347,"},","species:""",North American River Otter,""", date:""",8/8/2024,"""},"
9/1/2024,44.04868493,-110.7046782,North American River Otter,,,,{position: {,lat:,44.04868493,",lng:",-110.7046782,"},","species:""",North American River Otter,""", date:""",9/1/2024,"""},"
9/1/2024,44.00959542,-110.6547727,North American River Otter,,,,{position: {,lat:,44.00959542,",lng:",-110.6547727,"},","species:""",North American River Otter,""", date:""",9/1/2024,"""},"
9/1/2024,44.11564624,-110.7627118,North American River Otter,,,,{position: {,lat:,44.11564624,",lng:",-110.7627118,"},","species:""",North American River Otter,""", date:""",9/1/2024,"""},"
9/8/2024,44.75451052,-110.4422231,North American River Otter,,,,{position: {,lat:,44.75451052,",lng:",-110.4422231,"},","species:""",North American River Otter,""", date:""",9/8/2024,"""},"
9/6/2024,43.93105271,-110.524384,North American River Otter,,,,{position: {,lat:,43.93105271,",lng:",-110.524384,"},","species:""",North American River Otter,""", date:""",9/6/2024,"""},"
8/27/2024,44.1865687,-110.6573448,North American River Otter,,,,{position: {,lat:,44.1865687,",lng:",-110.6573448,"},","species:""",North American River Otter,""", date:""",8/27/2024,"""},"
9/19/2024,44.46370038,-110.1169334,North American River Otter,,,,{position: {,lat:,44.46370038,",lng:",-110.1169334,"},","species:""",North American River Otter,""", date:""",9/19/2024,"""},"
9/21/2024,44.9655785,-110.3311648,North American River Otter,,,,{position: {,lat:,44.9655785,",lng:",-110.3311648,"},","species:""",North American River Otter,""", date:""",9/21/2024,"""},"
9/21/2024,43.67385911,-110.6823386,North American River Otter,,,,{position: {,lat:,43.67385911,",lng:",-110.6823386,"},","species:""",North American River Otter,""", date:""",9/21/2024,"""},"
10/4/2024,43.77410058,-110.6801568,North American River Otter,,,,{position: {,lat:,43.77410058,",lng:",-110.6801568,"},","species:""",North American River Otter,""", date:""",10/4/2024,"""},"
9/23/2024,44.55255443,-110.3056543,North American River Otter,,,,{position: {,lat:,44.55255443,",lng:",-110.3056543,"},","species:""",North American River Otter,""", date:""",9/23/2024,"""},"
7/21/2008,44.88941451,-110.2940805,North American River Otter,,,,{position: {,lat:,44.88941451,",lng:",-110.2940805,"},","species:""",North American River Otter,""", date:""",7/21/2008,"""},"
10/10/2009,44.45107028,-110.2627062,North American River Otter,,,,{position: {,lat:,44.45107028,",lng:",-110.2627062,"},","species:""",North American River Otter,""", date:""",10/10/2009,"""},"
10/20/2015,43.6129978,-110.6771321,North American River Otter,,,,{position: {,lat:,43.6129978,",lng:",-110.6771321,"},","species:""",North American River Otter,""", date:""",10/20/2015,"""},"
10/20/2015,43.61625037,-110.682513,North American River Otter,,,,{position: {,lat:,43.61625037,",lng:",-110.682513,"},","species:""",North American River Otter,""", date:""",10/20/2015,"""},"
10/25/2024,43.89614038,-110.4573618,North American River Otter,,,,{position: {,lat:,43.89614038,",lng:",-110.4573618,"},","species:""",North American River Otter,""", date:""",10/25/2024,"""},"
8/23/2024,44.45095227,-110.4592874,North American River Otter,,,,{position: {,lat:,44.45095227,",lng:",-110.4592874,"},","species:""",North American River Otter,""", date:""",8/23/2024,"""},"
10/26/2024,43.94000779,-110.4377488,North American River Otter,,,,{position: {,lat:,43.94000779,",lng:",-110.4377488,"},","species:""",North American River Otter,""", date:""",10/26/2024,"""},"
9/12/2024,43.76731677,-110.7496092,North American River Otter,,,,{position: {,lat:,43.76731677,",lng:",-110.7496092,"},","species:""",North American River Otter,""", date:""",9/12/2024,"""},"
9/14/2007,44.21654374,-110.759036,North American River Otter,,,,{position: {,lat:,44.21654374,",lng:",-110.759036,"},","species:""",North American River Otter,""", date:""",9/14/2007,"""},"
6/12/2024,44.78786238,-110.9503105,North American River Otter,,,,{position: {,lat:,44.78786238,",lng:",-110.9503105,"},","species:""",North American River Otter,""", date:""",6/12/2024,"""},"
8/22/2024,43.8429019,-110.464563,North American River Otter,,,,{position: {,lat:,43.8429019,",lng:",-110.464563,"},","species:""",North American River Otter,""", date:""",8/22/2024,"""},"
1/24/2025,41.57576206,-109.4752725,North American River Otter,,,,{position: {,lat:,41.57576206,",lng:",-109.4752725,"},","species:""",North American River Otter,""", date:""",1/24/2025,"""},"
7/8/2011,44.91215519,-110.1977402,North American River Otter,,,,{position: {,lat:,44.91215519,",lng:",-110.1977402,"},","species:""",North American River Otter,""", date:""",7/8/2011,"""},"
10/5/2022,43.12168357,-110.9115064,North American River Otter,,,,{position: {,lat:,43.12168357,",lng:",-110.9115064,"},","species:""",North American River Otter,""", date:""",10/5/2022,"""},"
6/30/2010,44.65321119,-110.4314316,North American River Otter,,,,{position: {,lat:,44.65321119,",lng:",-110.4314316,"},","species:""",North American River Otter,""", date:""",6/30/2010,"""},"
4/13/2025,42.93423642,-108.7886436,North American River Otter,,,,{position: {,lat:,42.93423642,",lng:",-108.7886436,"},","species:""",North American River Otter,""", date:""",4/13/2025,"""},"
3/26/2025,43.63067599,-109.6192636,North American River Otter,,,,{position: {,lat:,43.63067599,",lng:",-109.6192636,"},","species:""",North American River Otter,""", date:""",3/26/2025,"""},"
5/7/2025,44.45343561,-110.3207445,North American River Otter,,,,{position: {,lat:,44.45343561,",lng:",-110.3207445,"},","species:""",North American River Otter,""", date:""",5/7/2025,"""},"
5/21/2025,43.54210083,-110.7485907,North American River Otter,,,,{position: {,lat:,43.54210083,",lng:",-110.7485907,"},","species:""",North American River Otter,""", date:""",5/21/2025,"""},"
5/25/2025,43.97848164,-110.4154213,North American River Otter,,,,{position: {,lat:,43.97848164,",lng:",-110.4154213,"},","species:""",North American River Otter,""", date:""",5/25/2025,"""},"
10/11/2022,43.93557369,-110.4734477,North American River Otter,,,,{position: {,lat:,43.93557369,",lng:",-110.4734477,"},","species:""",North American River Otter,""", date:""",10/11/2022,"""},"
6/4/2025,44.57991448,-110.9533578,North American River Otter,,,,{position: {,lat:,44.57991448,",lng:",-110.9533578,"},","species:""",North American River Otter,""", date:""",6/4/2025,"""},"
7/8/2025,41.42907362,-109.516726,North American River Otter,,,,{position: {,lat:,41.42907362,",lng:",-109.516726,"},","species:""",North American River Otter,""", date:""",7/8/2025,"""},"
7/2/2025,43.85687135,-110.4970355,North American River Otter,,,,{position: {,lat:,43.85687135,",lng:",-110.4970355,"},","species:""",North American River Otter,""", date:""",7/2/2025,"""},"
7/16/2025,43.51234039,-110.3153545,North American River Otter,,,,{position: {,lat:,43.51234039,",lng:",-110.3153545,"},","species:""",North American River Otter,""", date:""",7/16/2025,"""},"
9/3/2025,44.6348398,-110.4179646,North American River Otter,,,,{position: {,lat:,44.6348398,",lng:",-110.4179646,"},","species:""",North American River Otter,""", date:""",9/3/2025,"""},"
9/14/2025,43.93890685,-110.5122322,North American River Otter,,,,{position: {,lat:,43.93890685,",lng:",-110.5122322,"},","species:""",North American River Otter,""", date:""",9/14/2025,"""},"
9/17/2025,44.84112367,-109.7910528,North American River Otter,,,,{position: {,lat:,44.84112367,",lng:",-109.7910528,"},","species:""",North American River Otter,""", date:""",9/17/2025,"""},"
9/30/2025,43.86550527,-110.4713318,North American River Otter,,,,{position: {,lat:,43.86550527,",lng:",-110.4713318,"},","species:""",North American River Otter,""", date:""",9/30/2025,"""},"
9/18/2025,43.95067408,-110.4241083,North American River Otter,,,,{position: {,lat:,43.95067408,",lng:",-110.4241083,"},","species:""",North American River Otter,""", date:""",9/18/2025,"""},"
10/1/2025,44.54006752,-110.9215657,North American River Otter,,,,{position: {,lat:,44.54006752,",lng:",-110.9215657,"},","species:""",North American River Otter,""", date:""",10/1/2025,"""},"
